prices,market_caps,total_volumes,date,year
17.1142,16415459288.594057,1296758574.747851,2021-01-27 00:00:00,2021
15.4581,14798283723.454659,1336945930.4510188,2021-01-28 00:00:00,2021
16.9536,16254766558.700006,1520805815.1531267,2021-01-29 00:00:00,2021
16.8132,16183669590.285444,1861571320.5965343,2021-01-30 00:00:00,2021
16.4368,15755706707.425257,943930650.0265751,2021-01-31 00:00:00,2021
16.1435,15447495133.606997,1145966595.3844478,2021-02-01 00:00:00,2021
16.3345,15718566326.160374,957499231.0275391,2021-02-02 00:00:00,2021
17.2462,16703247515.16536,1360952730.1383374,2021-02-03 00:00:00,2021
20.8112,19971174479.345352,2517074593.027832,2021-02-04 00:00:00,2021
19.6879,19067536675.01821,2327103649.7824135,2021-02-05 00:00:00,2021
20.9155,20065986931.370617,1742093250.4734116,2021-02-06 00:00:00,2021
20.3986,19582739051.288105,1354116192.8114617,2021-02-07 00:00:00,2021
19.686700000000002,18891743103.597805,1496709054.2225707,2021-02-08 00:00:00,2021
23.1049,22114659632.659473,2773507986.714624,2021-02-09 00:00:00,2021
23.1772,22334799741.81557,1884256190.4570649,2021-02-10 00:00:00,2021
23.5332,22734504386.84818,2131291693.2757363,2021-02-11 00:00:00,2021
25.116,24161179429.366028,2103920735.4379256,2021-02-12 00:00:00,2021
28.6371,27616676384.90755,2519169670.429951,2021-02-13 00:00:00,2021
27.9476,27007038181.38601,2266210239.4688272,2021-02-14 00:00:00,2021
27.0529,26227319235.22934,1595500661.964877,2021-02-15 00:00:00,2021
27.6866,26566488356.9671,2472116588.792158,2021-02-16 00:00:00,2021
30.198,29114114011.07639,2701843651.3887186,2021-02-17 00:00:00,2021
31.9322,30712299898.00881,2323010298.124222,2021-02-18 00:00:00,2021
31.1628,30015246212.949078,1446625690.0175753,2021-02-19 00:00:00,2021
35.0264,33723084919.03054,2809304671.1877484,2021-02-20 00:00:00,2021
39.3736,37257080664.757454,5237458518.062277,2021-02-21 00:00:00,2021
39.7222,37996210717.6472,2910491062.714656,2021-02-22 00:00:00,2021
37.8178,36345028065.35592,4422794727.434546,2021-02-23 00:00:00,2021
34.3939,33192737847.942608,6044402319.652301,2021-02-24 00:00:00,2021
33.7287,32697522066.641846,3216425877.0109863,2021-02-25 00:00:00,2021
31.1899,30403400398.56049,2424342543.138615,2021-02-26 00:00:00,2021
31.3747,30323219597.905197,3811257872.375225,2021-02-27 00:00:00,2021
33.8041,32494177264.131943,3663132564.0751624,2021-02-28 00:00:00,2021
33.4532,32724468747.04945,3361298154.3935986,2021-03-01 00:00:00,2021
35.5729,34482548793.082504,2394221030.452759,2021-03-02 00:00:00,2021
36.2734,35162491056.98591,2652602369.6720257,2021-03-03 00:00:00,2021
37.0764,36037615291.30907,1846992438.6695292,2021-03-04 00:00:00,2021
35.4139,34325821408.80083,2017937521.415405,2021-03-05 00:00:00,2021
33.7245,32533163620.605686,2195167253.9325957,2021-03-06 00:00:00,2021
33.4935,32513187620.90908,1056302430.6437292,2021-03-07 00:00:00,2021
35.2441,34105986455.119774,1174423275.4810855,2021-03-08 00:00:00,2021
34.9715,33921422032.115574,1202842486.8403623,2021-03-09 00:00:00,2021
38.3957,37395351100.78027,2208593351.545486,2021-03-10 00:00:00,2021
37.7798,36853090170.43106,2247048891.0175467,2021-03-11 00:00:00,2021
36.8783,35856583093.91823,1602488721.3347497,2021-03-12 00:00:00,2021
